symbol,title,ambiguous_ticker,ambiguous_title
jmp,jmp,False,False
idcc,"interdigital,",False,False
pgp,pimco,False,False
slg,sl,False,False
mea,metalico,False,False
heat,smartheat,True,False
evlv,evine,False,False
ccme,china,False,True
cnbc,center,False,True
netl,netlogic,False,False
spar,spartan,True,True
beat,bio,True,False
twer,towerstream,False,False
cenx,century,False,True
amed,amedisys,False,False
tif,tiffany,False,True
expe,expedia,False,False
trin,arms,True,True
tivo,tivo,False,False
sks,saks,False,False
cyan,cyanotech,True,False
chop,china,True,True
ewa,ishares,False,False
bcon,beacon,False,True
meet,meetme,True,False
vvus,vivus,False,False
ace,ace,True,True
cb,the,False,True
ci,cigna,False,False
halo,halozyme,True,False
onxx,onyx,False,True
ultr,ultrapetrol,False,False
wcg,wellcare,False,False
useg,us,False,True
mo,altria,True,False
hg_f,copper,False,True
osg,overseas,False,True
prgn,paragon,False,True
sblk,star,False,True
tk,teekay,False,False
fsys,fuel,False,True
sam,boston,True,True
phk,pimco,False,False
dgit,dg,False,False
swsi,superior,False,True
bk,the,False,True
aib,allied,False,True
isrg,intuitive,False,True
trit,tri-tech,False,False
denn,denny's,False,False
cia,citizens,False,False
puda,puda,False,False
zstn,zst,False,False
ntap,"netapp,",False,False
rok,rockwell,True,False
insu,insituform,False,False
exk,endeavour,False,False
crtp,china,False,True
anss,"ansys,",False,False
kbe,spdr,False,False
ald,wisdomtree,False,False
eev,proshares,False,False
hrbr,hollis-eden,False,False
nwl,newell,False,False
dei,douglas,False,True
mfc,manulife,False,False
cree,cree,True,True
bbby,bed,False,True
shaw,shaw,True,True
sonc,sonic,False,True
sva,sinovac,False,False
glad,gladstone,True,True
main,main,True,True
tcap,triangle,False,True
tstrq,terrestar,False,False
low,lowe's,True,False
tol,toll,True,True
cbd,companhia,False,False
tin,temple-inland,True,False
pgh,pengrowth,False,False
mail,"incredimail,",True,False
tmv,direxion,False,False
arcc,ares,False,False
stt,state,False,True
hoku,hoku,False,False
fsii,fsi,False,False
hdy,hyperdynamics,False,False
agco,agco,False,False
aes,the,True,True
deck,deckers,True,False
srz,sunrise,False,True
nsl,nuveen,False,False
cpe,callon,False,False
mga,magna,False,False
repyy,repsol,False,False
fcg,first,False,True
hfc,hollyfrontier,False,False
cei,camber,False,True
atw,atwood,False,False
tndm,tandem,False,True
gpn,global,False,True
ma,mastercard,True,False
arb,arbitron,False,False
svm,silvercorp,False,False
clwr,clearwire,False,False
himx,himax,False,False
bzh,beazer,False,False
ewt,ishares,False,False
cpno,copano,False,False
mbi,mbia,False,False
mtg,mgic,False,False
elrnf,elron,False,False
alks,"alkermes,",False,False
csx,csx,False,False
cvgw,calavo,False,False
drwi,dragonwave,False,False
gll,proshares,False,False
par,par,True,True
rgr,"sturm,",False,False
ulta,ulta,False,False
tcptf,thompson,False,False
amt,american,True,True
abvt,"abovenet,",False,False
ctsh,cognizant,False,True
vale,vale,True,True
cwtr,coldwater,False,False
fwlt,foster,False,True
tune,microtune,True,False
bmi,badger,False,True
im,ingram,False,True
cpf,central,False,True
josb,jos.,False,False
wintd,wintree,False,False
nihd,nii,False,False
lgfty,longtop,False,False
argn,amerigon,False,False
sons,sonus,True,False
enoc,"enernoc,",False,False
mnkd,mannkind,False,False
ssw,seaspan,False,False
wen,the,True,True
mrvl,marvell,False,False
lltc,linear,False,True
cmzpd,compton,False,False
glbl,terraform,False,False
trmb,trimble,False,False
bphx,bluephoenix,False,False
sd,sandridge,False,False
sgg,ipath,False,False
dog,proshares,True,False
aaxn,axon,False,True
grbk,green,False,True
thqi,thq,False,False
bidz,"bidz.com,",False,False
uco,proshares,False,False
ip,international,False,True
ibkr,interactive,False,True
ruth,ruth's,True,False
